answers,RSEs,Research community
"less than £18,031",3.33,0.19915799
"18,031 to 24,057",1.9,1.179822018
"24,057 to 32,277",17.14,14.07215065
"32,277 to 43,325",47.14,35.46020622
"43,325 to 58,172",26.67,31.52494517
"More than 58,172",3.81,17.56371795
