answers,RSEs,Research community
"less than £18,031",3.831417625,0.19915799
"18,031 to 24,057",2.681992337,1.179822018
"24,057 to 32,277",16.85823755,14.07215065
"32,277 to 43,325",40.61302682,35.46020622
"43,325 to 58,172",27.20306513,31.52494517
"More than 58,172",8.812260536,17.56371795
