answers,percentage
Computer Science,60.4743083
Biological Sciences,45.05928854
Physics and Astronomy,41.10671937
Mathematics,20.55335968
Geography & Environmental Sciences,20.55335968
Chemistry,17.39130435
Medicine,16.60079051
Electrical & Electronic Engineering,10.27667984
Mechanical Engineering,9.881422925
Materials Technology,7.90513834
